epoch,lr,train_loss,val_loss,val_mae,val_rmse,val_acc,val_acc_within_1
81,8.65e-06,0.95214,0.77869,1.11282,2.01405,0.40000,0.76410
82,7.78e-06,1.02551,0.81802,1.17436,2.06186,0.34359,0.78462
83,6.96e-06,0.94945,0.82508,1.16410,2.09395,0.40513,0.75897
84,6.18e-06,0.96387,0.83559,1.15385,2.07179,0.40513,0.76923
85,5.45e-06,0.95810,0.79385,1.13333,2.03684,0.39487,0.77436
86,4.76e-06,0.93654,0.79718,1.10769,2.02295,0.41026,0.78462
87,4.11e-06,0.98751,0.90368,1.26154,2.15549,0.32821,0.77436
88,3.51e-06,1.00909,0.93397,1.28205,2.19323,0.33333,0.75385
89,2.96e-06,0.93822,0.77558,1.10256,2.03432,0.41026,0.79487
90,2.45e-06,0.93109,0.92106,1.30256,2.18386,0.29744,0.75897
91,1.99e-06,0.94586,0.79581,1.11795,2.03810,0.40000,0.78462
