true_count,n,mae,acc_exact
0,3,0.6667,0.6667
1,8,0.2500,0.7500
2,9,0.2222,0.7778
3,10,0.0000,1.0000
4,17,0.0000,1.0000
5,8,0.2500,0.7500
6,14,0.3571,0.7143
7,11,0.1818,0.8182
8,18,0.1667,0.8889
9,18,0.3333,0.7778
10,6,0.6667,0.6667
11,15,0.6667,0.4000
12,3,0.6667,0.3333
13,8,0.2500,0.7500
14,12,0.4167,0.6667
15,15,0.4667,0.5333
16,21,0.2857,0.7143
