arch,mae,rmse,acc_exact,acc_within_1,total_params,trainable_params,infer_ms_per_image,throughput_img_s
resnet18,0.30612245202064514,0.6388765573501587,0.7397959183673469,0.9591836734693877,11177025,11177025,3.4070,293.51
efficientnet_b0,0.33673468232154846,0.6925256848335266,0.7142857142857143,0.9642857142857143,4008829,4008829,15.6480,63.91
simplecnn,1.1326531171798706,1.6690459251403809,0.29591836734693877,0.7806122448979592,389633,389633,0.7804,1281.37
