true_count,n,mae,acc_exact
0,3,2.0000,0.0000
1,8,1.5000,0.1250
2,9,0.8889,0.1111
3,10,1.0000,0.4000
4,17,1.0000,0.4706
5,8,0.5000,0.6250
6,14,0.7857,0.4286
7,11,1.1818,0.1818
8,18,0.3889,0.6111
9,18,0.9444,0.3333
10,6,1.0000,0.6667
11,15,0.7333,0.3333
12,3,1.6667,0.0000
13,8,1.3750,0.1250
14,12,0.7500,0.5000
15,15,1.4000,0.4000
16,21,1.4286,0.4286
