,mAP50-95,mAP50,mAP75,precision,recall,params(M),infer_ms,img/s
YOLO11,0.8121882178559197,0.994193076767418,0.9716669741428599,0.9969578733810147,0.9930434782608696,9.413187,29.348099158225374,34.07375702966884
RT-DETR,0.8317553693195949,0.9946080818385765,0.9820090843978492,0.9948165121452807,0.9855072463768116,31.985795,55.29360046911075,18.08527553850722
