epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,24815.1,0.20504,0.28546,0.00907,0.97675,0.97766,0.98295,0.79642,0.20825,0.3044,0.02454,0.0011882,0.0011882,0.0011882
43,25405.4,0.22293,0.30195,0.01104,0.97085,0.97942,0.98266,0.80746,0.19527,0.29543,0.02183,0.0011684,0.0011684,0.0011684
44,25996.3,0.21643,0.29296,0.01,0.96909,0.97825,0.98186,0.7877,0.21533,0.30977,0.02196,0.0011486,0.0011486,0.0011486
45,26586.6,0.20998,0.28743,0.00994,0.9705,0.97884,0.97995,0.80401,0.20013,0.30266,0.02142,0.0011288,0.0011288,0.0011288
46,27177,0.19452,0.27729,0.00919,0.97645,0.98178,0.9809,0.803,0.20175,0.30025,0.02206,0.001109,0.001109,0.001109
47,27767.2,0.19796,0.27873,0.00931,0.96723,0.98001,0.98211,0.80381,0.20139,0.30277,0.02259,0.0010892,0.0010892,0.0010892
48,28363.9,0.2033,0.2825,0.00937,0.97787,0.97825,0.98302,0.80116,0.20531,0.30108,0.02334,0.0010694,0.0010694,0.0010694
49,28957.6,0.20198,0.28304,0.01003,0.96756,0.98181,0.9804,0.80271,0.20098,0.30415,0.02168,0.0010496,0.0010496,0.0010496
50,29554.4,0.2041,0.28447,0.00958,0.97511,0.97531,0.98186,0.80729,0.19535,0.30073,0.01892,0.0010298,0.0010298,0.0010298
51,30148.9,0.21158,0.28952,0.00939,0.98007,0.98119,0.98349,0.79111,0.2134,0.30838,0.02429,0.00101,0.00101,0.00101
52,30748.2,0.18924,0.27018,0.00896,0.97033,0.98058,0.9822,0.80863,0.19732,0.29582,0.02157,0.0009902,0.0009902,0.0009902
53,31340.4,0.18862,0.27002,0.008,0.97261,0.98116,0.98379,0.80888,0.19651,0.2974,0.01999,0.0009704,0.0009704,0.0009704
54,31937.4,0.18437,0.26759,0.00899,0.97727,0.98574,0.98151,0.79698,0.20573,0.3,0.02714,0.0009506,0.0009506,0.0009506
55,32534.9,0.19125,0.27454,0.00926,0.97474,0.97533,0.98463,0.814,0.19561,0.29164,0.02542,0.0009308,0.0009308,0.0009308
56,33129.5,0.19107,0.27079,0.0085,0.97909,0.98295,0.98195,0.80206,0.20328,0.29614,0.03533,0.000911,0.000911,0.000911
57,33719.5,0.18553,0.26714,0.008,0.97112,0.98119,0.98335,0.80958,0.19747,0.29621,0.02589,0.0008912,0.0008912,0.0008912
58,34320.2,0.19958,0.27882,0.00874,0.97238,0.97276,0.98369,0.80943,0.19662,0.29918,0.02456,0.0008714,0.0008714,0.0008714
59,34917.8,0.22042,0.29511,0.00994,0.98006,0.98295,0.98118,0.78169,0.22231,0.31295,0.03362,0.0008516,0.0008516,0.0008516
60,35509.6,0.20401,0.28388,0.00963,0.9684,0.97413,0.98315,0.79351,0.21338,0.31405,0.0254,0.0008318,0.0008318,0.0008318
61,36099.9,0.21379,0.2947,0.01015,0.97704,0.97554,0.9755,0.76394,0.23681,0.33354,0.02521,0.000812,0.000812,0.000812
62,36690.7,0.19183,0.27448,0.00897,0.97513,0.98471,0.97944,0.78683,0.2132,0.31043,0.02658,0.0007922,0.0007922,0.0007922
63,37281.6,0.18289,0.26519,0.00897,0.97874,0.97431,0.983,0.79792,0.2121,0.31158,0.02254,0.0007724,0.0007724,0.0007724
64,37873.5,0.18574,0.26882,0.00886,0.97379,0.97237,0.9833,0.79619,0.20767,0.30245,0.02498,0.0007526,0.0007526,0.0007526
65,38463.2,0.17837,0.26119,0.00835,0.97765,0.97727,0.9813,0.78781,0.21608,0.30694,0.02883,0.0007328,0.0007328,0.0007328
66,39060.2,0.16787,0.25204,0.00774,0.97795,0.98001,0.97559,0.79632,0.20887,0.29828,0.03807,0.000713,0.000713,0.000713
67,39655.4,0.16752,0.24905,0.00757,0.97549,0.97648,0.97939,0.78776,0.21494,0.30683,0.02881,0.0006932,0.0006932,0.0006932
68,40247.5,0.16532,0.24746,0.00785,0.97527,0.97061,0.98417,0.78691,0.21778,0.31268,0.02369,0.0006734,0.0006734,0.0006734
69,40842,0.16462,0.24745,0.00774,0.97195,0.97763,0.98301,0.79713,0.20994,0.30711,0.02551,0.0006536,0.0006536,0.0006536
70,41435.2,0.17465,0.25534,0.00768,0.97139,0.97803,0.97655,0.79366,0.2104,0.29915,0.03343,0.0006338,0.0006338,0.0006338
71,42030.5,0.17153,0.25377,0.00771,0.97771,0.97995,0.97464,0.78551,0.2151,0.3051,0.03422,0.000614,0.000614,0.000614
72,42626.2,0.16707,0.25,0.00745,0.97069,0.97357,0.98258,0.79861,0.20552,0.30661,0.02238,0.0005942,0.0005942,0.0005942
73,43219.1,0.16976,0.25193,0.00791,0.9782,0.97413,0.97517,0.79624,0.21151,0.30182,0.03226,0.0005744,0.0005744,0.0005744
74,43816.2,0.16524,0.24913,0.00758,0.9761,0.97178,0.97738,0.77899,0.22853,0.32242,0.03166,0.0005546,0.0005546,0.0005546
75,44412.8,0.18302,0.26353,0.00744,0.97789,0.9759,0.97042,0.7856,0.21657,0.29632,0.04791,0.0005348,0.0005348,0.0005348
